Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/14/12,2,210,0,Summer,0,0,0,swab,-3.481,37.906,0,110,1.2,NA,NA,NA,NA,NA,NA
8/14/12,2,211,0,Summer,0,0,0,swab,-3.481,37.906,0,112.25,-2.98,12.824,12.824,0,12.824,12.824,0
8/14/12,2,212,0,Summer,0,0,0,swab,-3.481,37.906,0,114.5,0.8,NA,NA,NA,NA,NA,NA
8/14/12,2,213,0,Summer,0,0,0,swab,-3.481,37.906,0,116.75,-3.85,12.776,12.776,0,12.776,12.776,0
8/14/12,2,214,0,Summer,0,0,0,swab,-3.481,37.906,0,119,0.2,NA,NA,NA,NA,NA,NA
8/14/12,2,215,0,Summer,0,0,0,swab,-3.481,37.906,0,121.25,1.5,NA,NA,NA,NA,NA,NA
8/14/12,2,216,0,Summer,0,0,0,swab,-3.481,37.906,0,123.5,0.4,12.586,12.586,0,12.586,12.586,0
8/14/12,2,217,0,Summer,0,0,0,swab,-3.481,37.906,0,125.75,1,12.69525,12.711,0.0315,12.648,12.711,0.063
8/14/12,2,218,0,Summer,0,0,0,swab,-3.481,37.906,0,128,0.4,12.565,12.565,0.03579572,12.534,12.596,0.062
8/14/12,2,219,0,Summer,0,0,0,sediment,-3.432,37.741,0,123.5,0,12.842,12.842,0,12.842,12.842,0
8/14/12,2,219,0,Summer,0,0,0,swab,-3.481,37.906,0,123.5,1.8,12.842,12.842,0,12.842,12.842,0
8/14/12,2,220,0,Summer,0,0,0,swab,-3.481,37.906,0,121.25,7.1,12.844,12.844,0,12.844,12.844,0
8/14/12,2,220,0,Summer,0,0,0,sediment,-3.432,37.741,0,121.25,0,12.844,12.844,0,12.844,12.844,0
8/14/12,2,221,0,Summer,0,0,0,swab,-3.481,37.906,0,116.75,7.1,NA,NA,NA,NA,NA,NA
8/14/12,2,222,0,Summer,0,0,0,swab,-3.481,37.906,0,121.25,7.1,12.8045,12.789,0.031,12.789,12.851,0.062
8/14/12,2,223,0,Summer,0,0,0,sediment,-3.432,37.741,0,125.75,0,NA,NA,NA,NA,NA,NA
8/14/12,2,223,0,Summer,0,0,0,swab,-3.481,37.906,0,125.75,7.1,NA,NA,NA,NA,NA,NA
8/14/12,2,224,0,Summer,0,0,0,sediment,-3.432,37.741,0,121.25,0,NA,NA,NA,NA,NA,NA
8/14/12,2,225,0,Summer,0,0,0,sediment,-3.432,37.741,0,123.5,0,NA,NA,NA,NA,NA,NA
8/14/12,2,301,0,Summer,0,0,0,swab,-3.481,37.906,0,183,0.59,NA,NA,NA,NA,NA,NA
8/14/12,2,302,0,Summer,0,0,0,swab,-3.481,37.906,0,184.59,2.6,NA,NA,NA,NA,NA,NA
8/14/12,2,303,0,Summer,0,0,0,swab,-3.481,37.906,0,186.18,0.59,13.01575,13.0315,0.09394458,12.906,13.094,0.188
8/14/12,2,304,0,Summer,0,0,0,swab,-3.481,37.906,0,187.77,2.5,NA,NA,NA,NA,NA,NA
8/14/12,2,305,0,Summer,0,0,0,swab,-3.481,37.906,0,189.36,1.5,NA,NA,NA,NA,NA,NA
